               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036208,            0.024048,           0.0097464,             0.99605,             0.99975,               0.995,             0.59283,            0.025015,           0.0090888,           0.0039227,            0.006436,            0.006436,            0.006436
                  38,               0.032,            0.026883,            0.010818,              0.7185,             0.96429,             0.85313,             0.56759,            0.028902,           0.0090829,           0.0035773,            0.006337,            0.006337,            0.006337
                  39,            0.036978,            0.025187,           0.0090023,             0.76578,             0.99333,             0.94039,             0.60573,            0.026502,           0.0094652,           0.0033594,            0.006238,            0.006238,            0.006238
                  40,            0.033805,            0.024489,             0.01015,             0.77458,                   1,             0.91578,              0.4808,            0.031934,            0.009691,           0.0033994,            0.006139,            0.006139,            0.006139
                  41,            0.037982,            0.023804,           0.0082202,              0.9906,                   1,               0.995,             0.68754,              0.0231,           0.0096413,           0.0034324,             0.00604,             0.00604,             0.00604
                  42,            0.030629,            0.025871,            0.009233,              0.8247,                   1,             0.94567,             0.66315,            0.028552,           0.0097169,           0.0034587,            0.005941,            0.005941,            0.005941
                  43,            0.035625,            0.025296,             0.00786,             0.97308,                   1,               0.995,             0.63319,            0.024749,           0.0098582,           0.0034499,            0.005842,            0.005842,            0.005842
                  44,            0.030251,            0.025215,           0.0077212,             0.82795,             0.99132,             0.93356,             0.64287,             0.02396,             0.00929,           0.0035533,            0.005743,            0.005743,            0.005743
                  45,              0.0342,            0.023962,           0.0072403,              0.9543,             0.96429,             0.98722,             0.71525,            0.025205,            0.008577,           0.0041937,            0.005644,            0.005644,            0.005644
                  46,            0.029024,            0.024516,           0.0078426,             0.73081,             0.96429,             0.90668,             0.65513,            0.027066,            0.008704,           0.0035399,            0.005545,            0.005545,            0.005545
                  47,            0.033497,            0.024981,           0.0071428,             0.84868,             0.96429,             0.91566,             0.63722,            0.026366,           0.0086189,           0.0035828,            0.005446,            0.005446,            0.005446
                  48,            0.033075,            0.026266,            0.006834,             0.70301,             0.93091,             0.81756,             0.60044,             0.02861,           0.0085994,           0.0032225,            0.005347,            0.005347,            0.005347
                  49,            0.035008,            0.022829,           0.0079328,             0.96407,             0.99397,               0.995,             0.75622,            0.020831,           0.0084968,           0.0032875,            0.005248,            0.005248,            0.005248
                  50,            0.028487,            0.022677,           0.0064141,             0.82334,             0.99378,             0.93512,             0.59977,            0.024173,           0.0090122,           0.0029009,            0.005149,            0.005149,            0.005149
                  51,            0.030363,            0.024892,           0.0064458,             0.98468,             0.95759,               0.995,             0.72285,             0.02175,           0.0088161,           0.0029049,             0.00505,             0.00505,             0.00505
                  52,            0.029566,            0.023173,            0.005969,             0.73974,             0.96429,             0.81891,             0.59439,            0.026747,           0.0090506,           0.0029683,            0.004951,            0.004951,            0.004951
                  53,            0.030262,            0.025117,           0.0059058,             0.93903,             0.97923,               0.995,              0.6926,            0.019865,           0.0088231,           0.0035539,            0.004852,            0.004852,            0.004852
                  54,            0.026648,            0.022841,           0.0059736,             0.89175,                   1,               0.995,             0.68656,            0.026217,           0.0090805,           0.0039238,            0.004753,            0.004753,            0.004753
                  55,            0.030128,            0.023122,           0.0056629,             0.91551,                   1,               0.995,             0.69189,            0.024034,           0.0089495,           0.0036769,            0.004654,            0.004654,            0.004654
                  56,            0.027396,            0.022786,           0.0066029,             0.94019,             0.99541,              0.9875,              0.6982,            0.023362,           0.0084254,           0.0027709,            0.004555,            0.004555,            0.004555
                  57,            0.028635,            0.025038,           0.0047233,              0.9888,             0.99715,               0.995,             0.73207,            0.020538,           0.0082473,           0.0024324,            0.004456,            0.004456,            0.004456
                  58,            0.028082,            0.022545,           0.0065709,             0.92024,             0.99843,             0.93962,             0.65343,            0.027016,           0.0085132,           0.0022614,            0.004357,            0.004357,            0.004357
                  59,            0.031029,            0.022359,           0.0059067,             0.99372,             0.99812,               0.995,             0.74887,            0.019704,           0.0082769,           0.0024307,            0.004258,            0.004258,            0.004258
                  60,            0.028516,            0.023028,           0.0048699,             0.98889,             0.98178,               0.995,             0.70098,            0.021926,            0.008292,            0.002644,            0.004159,            0.004159,            0.004159
                  61,             0.02637,            0.023363,           0.0061842,             0.99018,              0.9747,               0.995,             0.74632,            0.022485,           0.0080835,           0.0027004,             0.00406,             0.00406,             0.00406
                  62,            0.026992,            0.022225,           0.0072047,                   1,             0.96157,               0.995,             0.67613,            0.024689,           0.0082553,           0.0029004,            0.003961,            0.003961,            0.003961
                  63,            0.028905,            0.021739,           0.0067611,             0.99023,             0.96373,               0.995,             0.76405,            0.019873,           0.0079678,           0.0028529,            0.003862,            0.003862,            0.003862
                  64,            0.024213,            0.022378,           0.0057077,             0.98669,                   1,               0.995,             0.77699,            0.021964,           0.0081257,           0.0022907,            0.003763,            0.003763,            0.003763
                  65,            0.028499,            0.022508,           0.0061906,             0.99364,                   1,               0.995,             0.71744,            0.024264,           0.0085498,           0.0020482,            0.003664,            0.003664,            0.003664
                  66,            0.025075,            0.021461,           0.0058426,             0.99613,                   1,               0.995,             0.72903,             0.02229,           0.0087347,            0.002118,            0.003565,            0.003565,            0.003565
                  67,            0.027165,            0.022281,           0.0050187,             0.98904,             0.98898,               0.995,             0.74646,            0.020204,           0.0085461,           0.0023974,            0.003466,            0.003466,            0.003466
                  68,            0.024655,            0.023386,           0.0052934,             0.91234,             0.92539,             0.98574,             0.68245,            0.020677,           0.0086133,           0.0034621,            0.003367,            0.003367,            0.003367
                  69,            0.026326,            0.022422,           0.0048321,             0.88627,             0.96429,              0.9837,             0.71443,            0.018822,           0.0084359,           0.0040853,            0.003268,            0.003268,            0.003268
                  70,            0.024769,            0.021759,           0.0060034,             0.87783,             0.92857,             0.97848,             0.68582,            0.021442,           0.0083481,           0.0059662,            0.003169,            0.003169,            0.003169
                  71,            0.025433,            0.019515,            0.007431,              0.8517,             0.92857,             0.96794,             0.70482,            0.020224,           0.0082737,           0.0070054,             0.00307,             0.00307,             0.00307
                  72,            0.023762,            0.020818,           0.0048749,             0.85515,             0.92499,             0.96842,             0.66019,            0.022489,           0.0084146,           0.0071023,            0.002971,            0.002971,            0.002971
                  73,            0.024762,             0.01992,           0.0054517,             0.86621,             0.92085,             0.97313,              0.7284,            0.019447,           0.0084787,           0.0068208,            0.002872,            0.002872,            0.002872
                  74,             0.02318,            0.020562,           0.0055411,             0.92598,             0.89819,             0.96972,              0.6878,            0.021477,           0.0091409,           0.0065378,            0.002773,            0.002773,            0.002773
                  75,            0.025047,            0.022612,           0.0053352,             0.92099,             0.89758,             0.96597,             0.73353,            0.019861,           0.0088277,           0.0068959,            0.002674,            0.002674,            0.002674
                  76,            0.024361,            0.020937,           0.0076498,             0.88841,             0.95385,             0.97562,             0.70102,            0.021569,           0.0087153,           0.0054023,            0.002575,            0.002575,            0.002575
                  77,            0.023136,            0.020745,           0.0040407,              0.9004,             0.95701,             0.98517,              0.7519,            0.019278,           0.0083464,           0.0046651,            0.002476,            0.002476,            0.002476
                  78,            0.023614,            0.023309,           0.0051971,             0.95187,             0.89979,             0.98892,             0.75166,            0.019113,           0.0084307,           0.0039788,            0.002377,            0.002377,            0.002377
                  79,            0.022859,             0.02056,           0.0045895,             0.88508,                   1,             0.99125,             0.72887,              0.0197,           0.0084083,           0.0038115,            0.002278,            0.002278,            0.002278
                  80,            0.022873,            0.019391,           0.0040177,             0.86388,                   1,             0.98658,             0.69611,            0.021407,           0.0084707,           0.0039075,            0.002179,            0.002179,            0.002179
                  81,            0.022973,            0.020236,            0.005831,             0.87279,                   1,             0.98658,             0.75199,            0.018882,           0.0082154,           0.0036313,             0.00208,             0.00208,             0.00208
                  82,            0.021182,            0.019854,           0.0039876,              0.9935,             0.91909,             0.99033,             0.75991,            0.019122,           0.0082855,           0.0033084,            0.001981,            0.001981,            0.001981
                  83,            0.021936,            0.020871,           0.0038606,             0.91271,             0.97924,             0.98658,             0.74731,            0.018667,           0.0080288,           0.0032479,            0.001882,            0.001882,            0.001882
                  84,            0.021527,            0.020058,           0.0049905,             0.89984,             0.99334,             0.98892,             0.75055,            0.018638,           0.0080419,           0.0029345,            0.001783,            0.001783,            0.001783
                  85,            0.022085,            0.018013,           0.0038946,             0.99164,             0.96429,             0.99267,              0.7703,             0.01781,           0.0079497,           0.0027777,            0.001684,            0.001684,            0.001684
                  86,            0.021478,            0.019904,           0.0047931,             0.99571,             0.95926,             0.99267,             0.75488,             0.01846,             0.00827,           0.0024429,            0.001585,            0.001585,            0.001585
                  87,            0.021609,            0.019995,            0.007342,             0.99254,             0.95962,             0.99267,             0.77163,            0.017835,           0.0082743,           0.0023579,            0.001486,            0.001486,            0.001486
                  88,            0.020197,            0.018914,           0.0037245,             0.98079,             0.95211,             0.99267,             0.75578,            0.018625,           0.0083394,           0.0026476,            0.001387,            0.001387,            0.001387
                  89,            0.020531,             0.02168,           0.0037677,             0.99311,             0.92857,             0.99033,             0.77548,            0.018186,           0.0082254,           0.0029298,            0.001288,            0.001288,            0.001288
                  90,            0.021444,            0.020487,           0.0042026,             0.98995,             0.92857,             0.99033,             0.75875,            0.018334,           0.0082048,           0.0031025,            0.001189,            0.001189,            0.001189
                  91,             0.02134,            0.021212,           0.0047834,             0.98682,             0.92857,             0.99033,             0.74647,            0.018053,           0.0082641,           0.0028885,             0.00109,             0.00109,             0.00109
                  92,            0.021072,            0.019579,           0.0038072,             0.98871,             0.92857,             0.99033,             0.75005,            0.017967,           0.0083159,           0.0031032,            0.000991,            0.000991,            0.000991
                  93,            0.021303,            0.022217,           0.0039467,             0.99501,             0.92334,             0.99033,             0.75712,            0.017746,           0.0082378,           0.0030862,            0.000892,            0.000892,            0.000892
                  94,            0.020421,            0.018315,           0.0034208,             0.99605,             0.91977,             0.99033,              0.7421,             0.01787,           0.0082526,           0.0031867,            0.000793,            0.000793,            0.000793
                  95,            0.019675,            0.018966,           0.0038463,             0.99569,             0.92713,             0.99033,             0.75657,            0.017849,           0.0082587,           0.0033017,            0.000694,            0.000694,            0.000694
                  96,            0.021813,            0.021773,           0.0050114,             0.98221,             0.92857,             0.99033,             0.74329,            0.017887,           0.0082346,           0.0027654,            0.000595,            0.000595,            0.000595
                  97,            0.020384,            0.019061,           0.0040624,             0.99232,              0.9375,             0.99267,             0.76295,            0.017808,           0.0083029,           0.0025459,            0.000496,            0.000496,            0.000496
                  98,             0.02185,            0.021147,           0.0047478,             0.99245,             0.93574,             0.99267,              0.7533,            0.017827,           0.0082875,           0.0024817,            0.000397,            0.000397,            0.000397
                  99,            0.020234,            0.020024,           0.0029755,             0.99214,             0.93412,             0.99267,             0.76725,            0.017847,            0.008278,           0.0025317,            0.000298,            0.000298,            0.000298
