               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040477,            0.025009,            0.011157,             0.77701,             0.82792,             0.88628,             0.49868,            0.024112,           0.0089735,            0.011235,            0.006535,            0.006535,            0.006535
                  37,            0.039357,            0.026625,            0.010215,             0.80456,             0.94584,             0.96297,             0.58482,            0.023622,           0.0084468,           0.0077353,            0.006436,            0.006436,            0.006436
                  38,            0.037835,            0.028077,            0.012776,             0.77805,             0.94232,             0.89099,             0.60465,            0.020883,           0.0084818,           0.0059496,            0.006337,            0.006337,            0.006337
                  39,            0.035567,             0.02504,            0.010787,             0.82322,             0.94655,             0.90994,             0.59208,            0.022657,           0.0082722,           0.0028863,            0.006238,            0.006238,            0.006238
                  40,            0.040171,            0.028258,            0.011961,             0.92068,             0.94529,             0.96899,             0.60584,            0.020835,           0.0085354,           0.0030812,            0.006139,            0.006139,            0.006139
                  41,            0.033658,            0.027199,           0.0086186,             0.92109,             0.98507,             0.98808,             0.59119,            0.020144,           0.0086008,           0.0035773,             0.00604,             0.00604,             0.00604
                  42,            0.036558,            0.023708,           0.0087299,             0.73693,             0.82866,             0.87081,             0.59777,             0.02302,           0.0085599,           0.0039858,            0.005941,            0.005941,            0.005941
                  43,            0.034768,            0.025851,           0.0077301,             0.94132,              0.8808,             0.97613,             0.66466,            0.023072,           0.0084932,           0.0041205,            0.005842,            0.005842,            0.005842
                  44,            0.035127,            0.027136,           0.0094375,             0.95803,             0.99416,              0.9875,             0.68997,            0.018362,           0.0081734,            0.003514,            0.005743,            0.005743,            0.005743
                  45,            0.036222,            0.027438,            0.010283,             0.87008,             0.95455,             0.98108,             0.64323,            0.022233,            0.008819,           0.0030917,            0.005644,            0.005644,            0.005644
                  46,            0.032885,            0.024609,           0.0075187,             0.87289,             0.98573,             0.98341,              0.6861,            0.018572,           0.0091863,           0.0031094,            0.005545,            0.005545,            0.005545
                  47,             0.03151,            0.024455,           0.0075453,             0.67409,             0.96429,             0.85363,             0.59836,            0.023541,           0.0086364,           0.0035822,            0.005446,            0.005446,            0.005446
                  48,            0.033445,            0.027376,           0.0069469,             0.94917,             0.98308,              0.9875,             0.72344,            0.016643,           0.0081968,           0.0030649,            0.005347,            0.005347,            0.005347
                  49,            0.033766,            0.026773,           0.0087912,             0.92527,                   1,                0.98,             0.69643,            0.020627,           0.0083724,           0.0023467,            0.005248,            0.005248,            0.005248
                  50,            0.031936,            0.022236,           0.0069066,             0.95703,             0.99518,               0.995,             0.72577,            0.015864,           0.0084663,           0.0023466,            0.005149,            0.005149,            0.005149
                  51,            0.029243,            0.023524,           0.0099476,             0.99388,             0.99772,               0.995,             0.75913,            0.019398,           0.0084132,            0.002051,             0.00505,             0.00505,             0.00505
                  52,            0.032855,            0.028241,           0.0061646,              0.9962,             0.99873,               0.995,             0.75026,            0.015205,           0.0081855,           0.0017577,            0.004951,            0.004951,            0.004951
                  53,            0.029073,            0.025024,           0.0085932,             0.99573,             0.99519,               0.995,             0.74818,            0.015669,           0.0083753,           0.0017154,            0.004852,            0.004852,            0.004852
                  54,            0.030753,              0.0251,           0.0080027,             0.99678,               0.995,               0.995,             0.72425,            0.017412,           0.0082698,           0.0016787,            0.004753,            0.004753,            0.004753
                  55,            0.031369,            0.024702,           0.0074097,             0.99671,             0.99623,               0.995,              0.7517,            0.021039,           0.0084136,           0.0015387,            0.004654,            0.004654,            0.004654
                  56,            0.033114,            0.026215,           0.0067728,              0.9954,             0.99782,               0.995,             0.76054,            0.014684,           0.0079783,           0.0016702,            0.004555,            0.004555,            0.004555
                  57,            0.029729,            0.023298,           0.0090975,             0.80268,             0.99449,             0.87622,             0.63987,            0.019617,           0.0081843,           0.0016143,            0.004456,            0.004456,            0.004456
                  58,            0.033545,            0.023681,           0.0077389,             0.98748,              0.9888,               0.995,             0.70484,            0.019219,           0.0080881,            0.001744,            0.004357,            0.004357,            0.004357
                  59,            0.027241,            0.025245,           0.0078227,              0.8614,             0.99181,               0.963,             0.73021,            0.021551,           0.0085959,           0.0021298,            0.004258,            0.004258,            0.004258
                  60,            0.029507,            0.022389,           0.0058472,                   1,             0.97344,               0.995,             0.71489,            0.016401,           0.0086959,           0.0022621,            0.004159,            0.004159,            0.004159
                  61,            0.026287,            0.024165,           0.0068945,                   1,             0.98247,               0.995,             0.75195,            0.016534,           0.0086319,           0.0020633,             0.00406,             0.00406,             0.00406
                  62,            0.028898,            0.022967,           0.0079407,                   1,             0.98564,               0.995,             0.71535,            0.016787,            0.008582,           0.0020268,            0.003961,            0.003961,            0.003961
                  63,            0.028415,            0.022371,           0.0083403,             0.93506,                   1,             0.99125,             0.72277,            0.015999,           0.0091451,           0.0019437,            0.003862,            0.003862,            0.003862
                  64,            0.027502,            0.022512,             0.00549,             0.95052,             0.99647,             0.99125,             0.73335,            0.015777,           0.0087169,           0.0020716,            0.003763,            0.003763,            0.003763
                  65,            0.027461,            0.021563,           0.0056262,             0.95434,             0.98044,             0.99125,             0.74103,            0.015169,           0.0083045,            0.002945,            0.003664,            0.003664,            0.003664
                  66,             0.02825,            0.022562,           0.0063843,             0.93498,             0.99594,             0.99125,             0.74361,             0.01607,           0.0082885,           0.0030012,            0.003565,            0.003565,            0.003565
